mode: atomic
stream/main.go:30.13,39.40 1 0
stream/application/health/service.go:21.60,26.16 3 0
stream/application/health/service.go:26.16,28.3 1 0
stream/application/health/service.go:28.8,30.3 1 0
stream/application/health/service.go:33.2,34.16 2 0
stream/application/health/service.go:34.16,36.3 1 0
stream/application/health/service.go:36.8,38.3 1 0
stream/application/health/service.go:40.2,40.20 1 0
stream/application/health/service.go:43.69,45.12 2 0
stream/application/health/service.go:45.12,52.17 4 0
stream/application/health/service.go:52.17,54.4 1 0
stream/application/health/service.go:54.9,56.4 1 0
stream/application/health/service.go:59.3,60.17 2 0
stream/application/health/service.go:60.17,62.4 1 0
stream/application/health/service.go:62.9,64.4 1 0
stream/application/health/service.go:66.3,70.4 2 0
stream/application/health/service.go:72.2,72.18 1 0
stream/application/ticketsV2/handler/handler.go:18.50,20.2 1 0
stream/application/ticketsV2/handler/handler.go:23.56,25.2 2 0
stream/application/ticketsV2/handler/handler.go:25.2,28.3 2 0
stream/application/ticketsV2/handler/handler.go:33.68,36.2 2 0
stream/application/ticketsV2/handler/handler.go:39.49,46.51 5 0
stream/application/ticketsV2/handler/handler.go:46.51,54.3 3 0
stream/application/ticketsV2/handler/handler.go:57.2,67.22 5 0
stream/application/ticketsV2/handler/handler.go:71.54,78.51 5 0
stream/application/ticketsV2/handler/handler.go:78.51,86.3 3 0
stream/application/ticketsV2/handler/handler.go:89.2,99.22 5 0
stream/middleware/response.go:13.38,14.21 1 0
stream/middleware/response.go:14.21,16.3 1 0
stream/middleware/response.go:17.2,17.17 1 0
stream/middleware/response.go:17.17,19.3 1 0
stream/middleware/response.go:22.51,23.20 1 0
stream/middleware/response.go:23.20,25.3 1 0
stream/middleware/response.go:27.2,29.108 3 0
stream/middleware/response.go:32.45,33.66 1 0
stream/middleware/response.go:33.66,34.37 1 0
stream/middleware/response.go:34.37,36.4 1 0
stream/middleware/response.go:38.2,38.19 1 0
stream/middleware/response.go:41.67,53.20 4 0
stream/middleware/response.go:53.20,56.3 2 0
stream/middleware/response.go:58.2,58.14 1 0
stream/middleware/response.go:61.81,68.17 2 0
stream/middleware/response.go:68.17,70.3 1 0
stream/middleware/response.go:72.2,72.17 1 0
stream/middleware/response.go:75.62,76.26 1 0
stream/middleware/response.go:76.26,83.3 5 0
stream/middleware/response.go:86.36,87.30 1 0
stream/middleware/response.go:87.30,90.20 3 0
stream/middleware/response.go:90.20,92.4 1 0
stream/middleware/response.go:93.3,95.11 3 0
stream/middleware/response.go:101.74,102.32 1 0
stream/middleware/response.go:102.32,103.18 1 0
stream/middleware/response.go:103.18,105.4 1 0
stream/middleware/response.go:107.3,107.21 1 0
stream/middleware/response.go:107.21,114.4 2 0
stream/middleware/response.go:116.3,122.34 5 0
stream/middleware/response.go:122.34,123.11 1 0
stream/middleware/response.go:124.38,127.11 3 0
stream/middleware/response.go:128.12,128.12 0 0
stream/middleware/response.go:131.4,131.26 1 0
stream/middleware/response.go:131.26,134.20 3 0
stream/middleware/response.go:134.20,140.11 2 0
stream/middleware/response.go:142.5,142.11 1 0
stream/middleware/response.go:145.4,145.55 1 0
stream/middleware/response.go:145.55,146.78 1 0
stream/middleware/response.go:146.78,148.6 1 0
stream/middleware/response.go:148.11,148.28 1 0
stream/middleware/response.go:148.28,151.6 2 0
stream/middleware/response.go:151.11,155.6 3 0
stream/middleware/response.go:157.5,159.49 2 0
stream/middleware/response.go:159.49,161.6 1 0
stream/middleware/response.go:165.3,165.18 1 0
stream/middleware/response.go:165.18,174.4 4 0
stream/middleware/response.go:176.3,176.12 1 0
stream/middleware/response.go:180.37,181.30 1 0
stream/middleware/response.go:181.30,186.3 4 0
stream/middleware/type.response.go:44.26,48.3 2 0
stream/application/ticketsV2/service/service.go:24.56,33.2 2 0
stream/application/ticketsV2/service/service.go:36.110,38.54 1 0
stream/application/ticketsV2/service/service.go:38.54,43.3 1 0
stream/application/ticketsV2/service/service.go:46.2,59.29 7 0
stream/application/ticketsV2/service/service.go:59.29,62.17 3 0
stream/application/ticketsV2/service/service.go:62.17,67.4 1 0
stream/application/ticketsV2/service/service.go:68.3,68.21 1 0
stream/application/ticketsV2/service/service.go:72.2,73.16 2 0
stream/application/ticketsV2/service/service.go:73.16,78.3 1 0
stream/application/ticketsV2/service/service.go:81.2,82.16 2 0
stream/application/ticketsV2/service/service.go:82.16,88.3 2 0
stream/application/ticketsV2/service/service.go:91.2,105.19 6 0
stream/application/ticketsV2/service/service.go:109.123,110.73 1 0
stream/application/ticketsV2/service/service.go:110.73,114.13 3 0
stream/application/ticketsV2/service/service.go:114.13,119.20 4 0
stream/application/ticketsV2/service/service.go:119.20,121.12 1 0
stream/application/ticketsV2/service/service.go:122.23,123.12 1 0
stream/application/ticketsV2/service/service.go:124.13,124.13 0 0
stream/application/ticketsV2/service/service.go:128.5,129.19 2 0
stream/application/ticketsV2/service/service.go:129.19,132.6 2 0
stream/application/ticketsV2/service/service.go:135.5,135.12 1 0
stream/application/ticketsV2/service/service.go:136.26,136.26 0 0
stream/application/ticketsV2/service/service.go:137.23,138.12 1 0
stream/application/ticketsV2/service/service.go:143.4,143.37 1 0
stream/application/ticketsV2/service/service.go:143.37,145.5 1 0
stream/application/ticketsV2/service/service.go:148.3,148.27 1 0
stream/application/ticketsV2/service/service.go:153.118,154.55 1 0
stream/application/ticketsV2/service/service.go:154.55,157.17 2 0
stream/application/ticketsV2/service/service.go:157.17,159.4 1 0
stream/application/ticketsV2/service/service.go:161.3,161.26 1 0
stream/application/ticketsV2/service/service.go:166.115,168.54 1 0
stream/application/ticketsV2/service/service.go:168.54,173.3 1 0
stream/application/ticketsV2/service/service.go:176.2,189.29 7 0
stream/application/ticketsV2/service/service.go:189.29,192.17 3 0
stream/application/ticketsV2/service/service.go:192.17,197.4 1 0
stream/application/ticketsV2/service/service.go:198.3,198.21 1 0
stream/application/ticketsV2/service/service.go:202.2,203.16 2 0
stream/application/ticketsV2/service/service.go:203.16,208.3 1 0
stream/application/ticketsV2/service/service.go:211.2,212.16 2 0
stream/application/ticketsV2/service/service.go:212.16,218.3 2 0
stream/application/ticketsV2/service/service.go:221.2,235.19 6 0
stream/application/ticketsV2/service/service.go:239.144,240.75 1 0
stream/application/ticketsV2/service/service.go:240.75,244.13 3 0
stream/application/ticketsV2/service/service.go:244.13,251.20 5 0
stream/application/ticketsV2/service/service.go:251.20,253.12 1 0
stream/application/ticketsV2/service/service.go:254.23,255.12 1 0
stream/application/ticketsV2/service/service.go:256.13,256.13 0 0
stream/application/ticketsV2/service/service.go:260.5,261.19 2 0
stream/application/ticketsV2/service/service.go:261.19,264.6 2 0
stream/application/ticketsV2/service/service.go:267.5,270.32 2 0
stream/application/ticketsV2/service/service.go:270.32,275.13 3 0
stream/application/ticketsV2/service/service.go:276.33,276.33 0 0
stream/application/ticketsV2/service/service.go:277.24,278.13 1 0
stream/application/ticketsV2/service/service.go:282.6,282.23 1 0
stream/application/ticketsV2/service/service.go:287.4,287.22 1 0
stream/application/ticketsV2/service/service.go:287.22,288.12 1 0
stream/application/ticketsV2/service/service.go:289.28,289.28 0 0
stream/application/ticketsV2/service/service.go:290.23,291.12 1 0
stream/application/ticketsV2/service/service.go:296.4,296.37 1 0
stream/application/ticketsV2/service/service.go:296.37,298.5 1 0
stream/application/ticketsV2/service/service.go:301.3,301.27 1 0
stream/application/ticketsV2/service/service.go:306.128,307.60 1 0
stream/application/ticketsV2/service/service.go:307.60,312.28 2 0
stream/application/ticketsV2/service/service.go:312.28,314.18 2 0
stream/application/ticketsV2/service/service.go:314.18,316.5 1 0
stream/application/ticketsV2/service/service.go:317.4,317.27 1 0
stream/application/ticketsV2/service/service.go:320.3,320.21 1 0
stream/application/ticketsV2/service/service.go:325.111,327.30 2 0
stream/application/ticketsV2/service/service.go:328.21,329.32 1 0
stream/application/ticketsV2/service/service.go:330.13,331.17 1 0
stream/application/ticketsV2/service/service.go:332.10,333.17 1 0
stream/application/ticketsV2/service/service.go:336.2,338.16 3 0
stream/application/ticketsV2/service/service.go:338.16,341.3 2 0
stream/application/ticketsV2/service/service.go:343.2,352.3 1 0
stream/common/ticket.go:17.34,19.2 1 0
stream/application/ticketsV2/domain/types.go:22.39,23.20 1 0
stream/application/ticketsV2/domain/types.go:23.20,25.3 1 0
stream/application/ticketsV2/domain/types.go:26.2,26.17 1 0
stream/application/ticketsV2/domain/types.go:30.40,32.2 1 0
stream/application/ticketsV2/domain/types.go:72.56,73.25 1 0
stream/application/ticketsV2/domain/types.go:73.25,75.3 1 0
stream/application/ticketsV2/domain/types.go:77.2,80.34 3 0
stream/application/ticketsV2/domain/types.go:80.34,81.12 1 0
stream/application/ticketsV2/domain/types.go:81.12,83.4 1 0
stream/application/ticketsV2/domain/types.go:86.3,87.17 2 0
stream/application/ticketsV2/domain/types.go:87.17,89.4 1 0
stream/application/ticketsV2/domain/types.go:90.3,95.17 4 0
stream/application/ticketsV2/domain/types.go:95.17,97.4 1 0
stream/application/ticketsV2/domain/types.go:98.3,98.34 1 0
stream/application/ticketsV2/domain/types.go:101.2,102.17 2 0
stream/application/ticketsV2/domain/types.go:106.66,108.2 1 0
stream/application/ticketsV2/domain/types.go:111.62,112.34 1 0
stream/application/ticketsV2/domain/types.go:112.34,113.23 1 0
stream/application/ticketsV2/domain/types.go:113.23,115.4 1 0
stream/application/ticketsV2/domain/types.go:117.2,117.19 1 0
stream/application/ticketsV2/domain/types.go:121.54,123.2 1 0
stream/application/ticketsV2/domain/types.go:134.50,135.16 1 0
stream/application/ticketsV2/domain/types.go:135.16,138.3 2 0
stream/application/ticketsV2/domain/types.go:139.2,140.12 2 0
stream/application/ticketsV2/domain/validator.go:13.31,15.2 1 3
stream/application/ticketsV2/domain/validator.go:18.59,23.39 2 6
stream/application/ticketsV2/domain/validator.go:23.39,25.3 1 1
stream/application/ticketsV2/domain/validator.go:28.2,28.26 1 5
stream/application/ticketsV2/domain/validator.go:28.26,29.25 1 0
stream/application/ticketsV2/domain/validator.go:29.25,31.4 1 0
stream/application/ticketsV2/domain/validator.go:35.2,35.24 1 5
stream/application/ticketsV2/domain/validator.go:35.24,37.3 1 0
stream/application/ticketsV2/domain/validator.go:40.2,40.30 1 5
stream/application/ticketsV2/domain/validator.go:40.30,41.60 1 0
stream/application/ticketsV2/domain/validator.go:41.60,43.4 1 0
stream/application/ticketsV2/domain/validator.go:47.2,47.38 1 5
stream/application/ticketsV2/domain/validator.go:47.38,48.55 1 2
stream/application/ticketsV2/domain/validator.go:48.55,50.4 1 2
stream/application/ticketsV2/domain/validator.go:54.2,54.43 1 3
stream/application/ticketsV2/domain/validator.go:54.43,55.53 1 5
stream/application/ticketsV2/domain/validator.go:55.53,57.4 1 1
stream/application/ticketsV2/domain/validator.go:61.2,61.69 1 2
stream/application/ticketsV2/domain/validator.go:61.69,63.3 1 1
stream/application/ticketsV2/domain/validator.go:65.2,65.12 1 1
stream/application/ticketsV2/domain/validator.go:69.69,73.28 3 7
stream/application/ticketsV2/domain/validator.go:73.28,75.64 1 10
stream/application/ticketsV2/domain/validator.go:75.64,77.4 1 1
stream/application/ticketsV2/domain/validator.go:80.2,80.19 1 7
stream/application/ticketsV2/domain/validator.go:84.64,89.41 3 2
stream/application/ticketsV2/domain/validator.go:89.41,91.3 1 5
stream/application/ticketsV2/domain/validator.go:94.2,94.24 1 2
stream/application/ticketsV2/domain/validator.go:94.24,96.3 1 6
stream/application/ticketsV2/domain/validator.go:98.2,98.15 1 2
stream/application/ticketsV2/domain/validator.go:102.61,103.23 1 0
stream/application/ticketsV2/domain/validator.go:103.23,105.3 1 0
stream/application/ticketsV2/domain/validator.go:107.2,110.17 3 0
stream/application/ticketsV2/domain/validator.go:110.17,112.3 1 0
stream/application/ticketsV2/domain/validator.go:114.2,114.47 1 0
stream/application/ticketsV2/domain/validator.go:114.47,116.3 1 0
stream/application/ticketsV2/domain/validator.go:119.2,119.36 1 0
stream/application/ticketsV2/domain/validator.go:119.36,121.3 1 0
stream/application/ticketsV2/domain/validator.go:123.2,123.12 1 0
stream/application/ticketsV2/domain/validator.go:127.67,128.23 1 2
stream/application/ticketsV2/domain/validator.go:128.23,130.3 1 0
stream/application/ticketsV2/domain/validator.go:132.2,132.26 1 2
stream/application/ticketsV2/domain/validator.go:132.26,134.3 1 0
stream/application/ticketsV2/domain/validator.go:137.2,138.32 2 2
stream/application/ticketsV2/domain/validator.go:138.32,140.3 1 1
stream/application/ticketsV2/domain/validator.go:143.2,143.42 1 1
stream/application/ticketsV2/domain/validator.go:143.42,145.3 1 1
stream/application/ticketsV2/domain/validator.go:147.2,147.12 1 0
stream/application/ticketsV2/domain/validator.go:151.61,152.30 1 5
stream/application/ticketsV2/domain/validator.go:152.30,154.3 1 0
stream/application/ticketsV2/domain/validator.go:156.2,156.25 1 5
stream/application/ticketsV2/domain/validator.go:156.25,158.3 1 0
stream/application/ticketsV2/domain/validator.go:160.2,160.26 1 5
stream/application/ticketsV2/domain/validator.go:160.26,162.3 1 0
stream/application/ticketsV2/domain/validator.go:165.2,165.48 1 5
stream/application/ticketsV2/domain/validator.go:165.48,167.3 1 1
stream/application/ticketsV2/domain/validator.go:170.2,170.39 1 4
stream/application/ticketsV2/domain/validator.go:170.39,171.29 1 4
stream/application/ticketsV2/domain/validator.go:171.29,172.12 1 0
stream/application/ticketsV2/domain/validator.go:174.3,174.37 1 4
stream/application/ticketsV2/domain/validator.go:174.37,176.4 1 0
stream/application/ticketsV2/domain/validator.go:179.2,179.12 1 4
stream/application/ticketsV2/domain/validator.go:183.72,185.35 2 2
stream/application/ticketsV2/domain/validator.go:185.35,186.28 1 4
stream/application/ticketsV2/domain/validator.go:186.28,188.4 1 1
stream/application/ticketsV2/domain/validator.go:189.3,189.31 1 3
stream/application/ticketsV2/domain/validator.go:191.2,191.12 1 1
stream/application/ticketsV2/domain/validator.go:195.41,199.37 2 4
stream/application/ticketsV2/domain/validator.go:199.37,201.3 1 0
stream/application/ticketsV2/domain/validator.go:204.2,212.34 2 4
stream/application/ticketsV2/domain/validator.go:212.34,213.34 1 88
stream/application/ticketsV2/domain/validator.go:213.34,215.4 1 0
stream/application/ticketsV2/domain/validator.go:219.2,219.40 1 4
stream/application/ticketsV2/domain/validator.go:219.40,221.3 1 0
stream/application/ticketsV2/domain/validator.go:223.2,223.14 1 4
stream/application/ticketsV2/domain/validator.go:227.45,230.38 2 16
stream/application/ticketsV2/domain/validator.go:230.38,231.32 1 81
stream/application/ticketsV2/domain/validator.go:231.32,233.4 1 4
stream/application/ticketsV2/domain/validator.go:236.2,240.21 3 12
stream/application/ticketsV2/domain/validator.go:240.21,246.43 2 12
stream/application/ticketsV2/domain/validator.go:246.43,247.25 1 111
stream/application/ticketsV2/domain/validator.go:247.25,249.5 1 3
stream/application/ticketsV2/domain/validator.go:251.3,251.75 1 9
stream/application/ticketsV2/domain/validator.go:251.75,253.4 1 2
stream/application/ticketsV2/domain/validator.go:254.3,254.15 1 7
stream/application/ticketsV2/domain/validator.go:258.2,263.29 2 0
stream/application/ticketsV2/domain/validator.go:263.29,264.45 1 0
stream/application/ticketsV2/domain/validator.go:264.45,265.23 1 0
stream/application/ticketsV2/domain/validator.go:265.23,267.5 1 0
stream/application/ticketsV2/domain/validator.go:269.3,269.71 1 0
stream/application/ticketsV2/domain/validator.go:269.71,271.4 1 0
stream/application/ticketsV2/domain/validator.go:274.2,274.14 1 0
stream/middleware/response.go:13.38,14.21 1 0
stream/middleware/response.go:14.21,16.3 1 0
stream/middleware/response.go:17.2,17.17 1 0
stream/middleware/response.go:17.17,19.3 1 0
stream/middleware/response.go:22.51,23.20 1 0
stream/middleware/response.go:23.20,25.3 1 0
stream/middleware/response.go:27.2,29.108 3 0
stream/middleware/response.go:32.45,33.66 1 0
stream/middleware/response.go:33.66,34.37 1 0
stream/middleware/response.go:34.37,36.4 1 0
stream/middleware/response.go:38.2,38.19 1 0
stream/middleware/response.go:41.67,53.20 4 0
stream/middleware/response.go:53.20,56.3 2 0
stream/middleware/response.go:58.2,58.14 1 0
stream/middleware/response.go:61.81,68.17 2 0
stream/middleware/response.go:68.17,70.3 1 0
stream/middleware/response.go:72.2,72.17 1 0
stream/middleware/response.go:75.62,76.26 1 0
stream/middleware/response.go:76.26,83.3 5 0
stream/middleware/response.go:86.36,87.30 1 0
stream/middleware/response.go:87.30,90.20 3 0
stream/middleware/response.go:90.20,92.4 1 0
stream/middleware/response.go:93.3,95.11 3 0
stream/middleware/response.go:101.74,102.32 1 0
stream/middleware/response.go:102.32,103.18 1 0
stream/middleware/response.go:103.18,105.4 1 0
stream/middleware/response.go:107.3,107.21 1 0
stream/middleware/response.go:107.21,114.4 2 0
stream/middleware/response.go:116.3,122.34 5 0
stream/middleware/response.go:122.34,123.11 1 0
stream/middleware/response.go:124.38,127.11 3 0
stream/middleware/response.go:128.12,128.12 0 0
stream/middleware/response.go:131.4,131.26 1 0
stream/middleware/response.go:131.26,134.20 3 0
stream/middleware/response.go:134.20,140.11 2 0
stream/middleware/response.go:142.5,142.11 1 0
stream/middleware/response.go:145.4,145.55 1 0
stream/middleware/response.go:145.55,146.78 1 0
stream/middleware/response.go:146.78,148.6 1 0
stream/middleware/response.go:148.11,148.28 1 0
stream/middleware/response.go:148.28,151.6 2 0
stream/middleware/response.go:151.11,155.6 3 0
stream/middleware/response.go:157.5,159.49 2 0
stream/middleware/response.go:159.49,161.6 1 0
stream/middleware/response.go:165.3,165.18 1 0
stream/middleware/response.go:165.18,174.4 4 0
stream/middleware/response.go:176.3,176.12 1 0
stream/middleware/response.go:180.37,181.30 1 0
stream/middleware/response.go:181.30,186.3 4 0
stream/middleware/type.response.go:44.26,48.3 2 0
stream/application/ticketsV2/repository/mapper.go:15.40,17.2 1 0
stream/application/ticketsV2/repository/mapper.go:20.89,26.24 3 0
stream/application/ticketsV2/repository/mapper.go:26.24,28.3 1 0
stream/application/ticketsV2/repository/mapper.go:31.2,31.48 1 0
stream/application/ticketsV2/repository/mapper.go:31.48,33.3 1 0
stream/application/ticketsV2/repository/mapper.go:36.2,37.34 2 0
stream/application/ticketsV2/repository/mapper.go:37.34,39.3 1 0
stream/application/ticketsV2/repository/mapper.go:41.2,41.20 1 0
stream/application/ticketsV2/repository/mapper.go:50.82,54.2 1 0
stream/application/ticketsV2/repository/mapper.go:57.133,61.35 2 0
stream/application/ticketsV2/repository/mapper.go:61.35,64.44 2 0
stream/application/ticketsV2/repository/mapper.go:64.44,67.62 2 0
stream/application/ticketsV2/repository/mapper.go:67.62,69.5 1 0
stream/application/ticketsV2/repository/mapper.go:71.4,72.15 2 0
stream/application/ticketsV2/repository/mapper.go:72.15,74.5 1 0
stream/application/ticketsV2/repository/mapper.go:75.4,75.24 1 0
stream/application/ticketsV2/repository/mapper.go:79.3,80.14 2 0
stream/application/ticketsV2/repository/mapper.go:80.14,82.4 1 0
stream/application/ticketsV2/repository/mapper.go:85.3,86.17 2 0
stream/application/ticketsV2/repository/mapper.go:86.17,88.4 1 0
stream/application/ticketsV2/repository/mapper.go:91.3,94.4 1 0
stream/application/ticketsV2/repository/mapper.go:97.2,100.18 2 0
stream/application/ticketsV2/repository/mapper.go:100.18,102.3 1 0
stream/application/ticketsV2/repository/mapper.go:104.2,104.25 1 0
stream/application/ticketsV2/repository/mapper.go:108.76,110.2 1 0
stream/application/ticketsV2/repository/mapper.go:113.49,117.19 3 0
stream/application/ticketsV2/repository/mapper.go:117.19,119.3 1 0
stream/application/ticketsV2/repository/mapper.go:122.2,125.27 2 0
stream/application/ticketsV2/repository/mapper.go:125.27,126.42 1 0
stream/application/ticketsV2/repository/mapper.go:126.42,128.9 2 0
stream/application/ticketsV2/repository/mapper.go:132.2,132.14 1 0
stream/application/ticketsV2/repository/mapper.go:136.72,142.24 3 0
stream/application/ticketsV2/repository/mapper.go:142.24,146.61 2 0
stream/application/ticketsV2/repository/mapper.go:146.61,147.12 1 0
stream/application/ticketsV2/repository/mapper.go:151.3,152.21 2 0
stream/application/ticketsV2/repository/mapper.go:152.21,153.12 1 0
stream/application/ticketsV2/repository/mapper.go:157.3,158.39 2 0
stream/application/ticketsV2/repository/mapper.go:161.2,161.41 1 0
stream/application/ticketsV2/repository/mapper.go:165.37,166.16 1 0
stream/application/ticketsV2/repository/mapper.go:166.16,168.3 1 0
stream/application/ticketsV2/repository/mapper.go:170.2,170.25 1 0
stream/application/ticketsV2/repository/mapper.go:171.11,172.18 1 0
stream/application/ticketsV2/repository/mapper.go:173.12,174.18 1 0
stream/application/ticketsV2/repository/mapper.go:175.13,176.18 1 0
stream/application/ticketsV2/repository/mapper.go:177.13,178.18 1 0
stream/application/ticketsV2/repository/mapper.go:179.13,180.11 1 0
stream/application/ticketsV2/repository/mapper.go:181.12,182.18 1 0
stream/application/ticketsV2/repository/mapper.go:183.13,184.18 1 0
stream/application/ticketsV2/repository/mapper.go:185.14,186.18 1 0
stream/application/ticketsV2/repository/mapper.go:187.14,188.18 1 0
stream/application/ticketsV2/repository/mapper.go:189.14,190.18 1 0
stream/application/ticketsV2/repository/mapper.go:191.15,192.18 1 0
stream/application/ticketsV2/repository/mapper.go:193.15,194.18 1 0
stream/application/ticketsV2/repository/mapper.go:195.10,196.11 1 0
stream/application/ticketsV2/repository/operators.go:10.59,17.36 3 0
stream/application/ticketsV2/repository/operators.go:17.36,19.3 1 0
stream/application/ticketsV2/repository/operators.go:21.2,21.12 1 0
stream/application/ticketsV2/repository/query_builder.go:21.72,29.2 1 10
stream/application/ticketsV2/repository/query_builder.go:32.57,34.2 1 2
stream/application/ticketsV2/repository/query_builder.go:37.68,43.29 4 8
stream/application/ticketsV2/repository/query_builder.go:43.29,45.3 1 6
stream/application/ticketsV2/repository/query_builder.go:45.8,47.37 2 2
stream/application/ticketsV2/repository/query_builder.go:47.37,48.28 1 5
stream/application/ticketsV2/repository/query_builder.go:48.28,50.5 1 1
stream/application/ticketsV2/repository/query_builder.go:50.10,52.5 1 4
stream/application/ticketsV2/repository/query_builder.go:54.3,54.52 1 2
stream/application/ticketsV2/repository/query_builder.go:58.2,62.23 3 8
stream/application/ticketsV2/repository/query_builder.go:62.23,65.34 3 3
stream/application/ticketsV2/repository/query_builder.go:65.34,67.4 1 4
stream/application/ticketsV2/repository/query_builder.go:68.3,68.55 1 3
stream/application/ticketsV2/repository/query_builder.go:72.2,72.49 1 8
stream/application/ticketsV2/repository/query_builder.go:72.49,77.3 4 1
stream/application/ticketsV2/repository/query_builder.go:80.2,80.18 1 8
stream/application/ticketsV2/repository/query_builder.go:80.18,83.3 2 1
stream/application/ticketsV2/repository/query_builder.go:86.2,86.19 1 8
stream/application/ticketsV2/repository/query_builder.go:86.19,89.3 2 1
stream/application/ticketsV2/repository/query_builder.go:91.2,91.29 1 8
stream/application/ticketsV2/repository/query_builder.go:95.67,104.23 5 2
stream/application/ticketsV2/repository/query_builder.go:104.23,107.34 3 1
stream/application/ticketsV2/repository/query_builder.go:107.34,109.4 1 1
stream/application/ticketsV2/repository/query_builder.go:110.3,110.55 1 1
stream/application/ticketsV2/repository/query_builder.go:113.2,113.29 1 2
stream/application/ticketsV2/repository/query_builder.go:117.68,123.29 4 0
stream/application/ticketsV2/repository/query_builder.go:123.29,125.3 1 0
stream/application/ticketsV2/repository/query_builder.go:125.8,127.37 2 0
stream/application/ticketsV2/repository/query_builder.go:127.37,128.28 1 0
stream/application/ticketsV2/repository/query_builder.go:128.28,130.5 1 0
stream/application/ticketsV2/repository/query_builder.go:130.10,132.5 1 0
stream/application/ticketsV2/repository/query_builder.go:134.3,134.52 1 0
stream/application/ticketsV2/repository/query_builder.go:138.2,142.23 3 0
stream/application/ticketsV2/repository/query_builder.go:142.23,145.34 3 0
stream/application/ticketsV2/repository/query_builder.go:145.34,147.4 1 0
stream/application/ticketsV2/repository/query_builder.go:148.3,148.55 1 0
stream/application/ticketsV2/repository/query_builder.go:152.2,154.29 2 0
stream/application/ticketsV2/repository/query_builder.go:158.112,168.44 7 5
stream/application/ticketsV2/repository/query_builder.go:168.44,169.34 1 1
stream/application/ticketsV2/repository/query_builder.go:170.22,172.26 2 1
stream/application/ticketsV2/repository/query_builder.go:172.26,175.5 2 3
stream/application/ticketsV2/repository/query_builder.go:176.4,178.27 3 1
stream/application/ticketsV2/repository/query_builder.go:179.11,181.36 2 0
stream/application/ticketsV2/repository/query_builder.go:183.8,186.3 2 4
stream/application/ticketsV2/repository/query_builder.go:188.2,188.30 1 5
stream/application/ticketsV2/repository/query_builder.go:192.48,195.2 2 20
stream/application/ticketsV2/repository/query_builder.go:198.41,201.37 2 13
stream/application/ticketsV2/repository/query_builder.go:201.37,203.3 1 3
stream/application/ticketsV2/repository/query_builder.go:205.2,213.34 2 10
stream/application/ticketsV2/repository/query_builder.go:213.34,214.34 1 179
stream/application/ticketsV2/repository/query_builder.go:214.34,216.4 1 3
stream/application/ticketsV2/repository/query_builder.go:219.2,219.40 1 7
stream/application/ticketsV2/repository/query_builder.go:219.40,221.3 1 1
stream/application/ticketsV2/repository/query_builder.go:223.2,223.14 1 6
stream/application/ticketsV2/repository/query_builder.go:228.67,232.49 3 2
stream/application/ticketsV2/repository/query_builder.go:232.49,234.3 1 5
stream/application/ticketsV2/repository/query_builder.go:237.2,240.41 3 2
stream/application/ticketsV2/repository/query_builder.go:240.41,241.40 1 6
stream/application/ticketsV2/repository/query_builder.go:241.40,242.20 1 9
stream/application/ticketsV2/repository/query_builder.go:242.20,245.5 2 8
stream/application/ticketsV2/repository/query_builder.go:249.2,249.19 1 2
stream/application/ticketsV2/repository/repository.go:18.51,20.2 1 0
